schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,account_requests,Service role can create account requests,PERMISSIVE,{service_role},INSERT,null,true
public,account_requests,account_requests_delete_new,PERMISSIVE,{authenticated},DELETE,(auth_is_admin() = true),null
public,account_requests,account_requests_insert_new,PERMISSIVE,{public},INSERT,null,(status = 'pending'::text)
public,account_requests,account_requests_select_new,PERMISSIVE,{public},SELECT,((auth_is_admin() = true) OR (auth_is_org_admin() = true)),null
public,account_requests,account_requests_update_new,PERMISSIVE,{authenticated},UPDATE,((auth_is_admin() = true) OR (auth_is_org_admin() = true)),null
public,activity_log,Admins can view all activity logs,PERMISSIVE,{authenticated},SELECT,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text))))",null
public,activity_log,Authenticated users can log activity,PERMISSIVE,{authenticated},INSERT,null,"((auth.uid() IS NOT NULL) AND (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.organization_id IS NOT NULL)))))"
public,activity_log,Service role full access,PERMISSIVE,{service_role},ALL,true,true
public,activity_log,Users can view own activity,PERMISSIVE,{authenticated},SELECT,(user_id = auth.uid()),null
public,asset_access_requests,Admins can update asset access requests,PERMISSIVE,{public},UPDATE,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND ((profiles.role = 'admin'::text) OR ((profiles.role = 'org_admin'::text) AND (profiles.organization_id = asset_access_requests.owner_organization_id))))))",null
public,asset_access_requests,Authenticated users can create asset access requests,PERMISSIVE,{public},INSERT,null,"((auth.uid() = user_id) AND (auth.uid() IS NOT NULL) AND (user_organization_id IN ( SELECT profiles.organization_id
   FROM profiles
  WHERE (profiles.id = auth.uid()))))"
public,asset_access_requests,Users can view relevant asset access requests,PERMISSIVE,{public},SELECT,"((user_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND ((profiles.role = 'admin'::text) OR ((profiles.role = 'org_admin'::text) AND (profiles.organization_id = asset_access_requests.owner_organization_id)))))))",null
public,assets,Editors can delete own org assets,PERMISSIVE,{public},DELETE,"(((organization_id = ( SELECT profiles.organization_id
   FROM profiles
  WHERE (profiles.id = auth.uid()))) AND (( SELECT profiles.role
   FROM profiles
  WHERE (profiles.id = auth.uid())) = ANY (ARRAY['editor'::text, 'org_admin'::text, 'admin'::text]))) OR (( SELECT profiles.role
   FROM profiles
  WHERE (profiles.id = auth.uid())) = 'admin'::text))",null
public,assets,Users can create assets in their org,PERMISSIVE,{public},INSERT,null,"(((organization_id = ( SELECT profiles.organization_id
   FROM profiles
  WHERE (profiles.id = auth.uid()))) AND (created_by = auth.uid())) OR ((( SELECT profiles.role
   FROM profiles
  WHERE (profiles.id = auth.uid())) = 'admin'::text) AND (created_by = auth.uid())))"
public,assets,Users can update own org assets,PERMISSIVE,{public},UPDATE,"(((organization_id = ( SELECT profiles.organization_id
   FROM profiles
  WHERE (profiles.id = auth.uid()))) AND ((created_by = auth.uid()) OR (( SELECT profiles.role
   FROM profiles
  WHERE (profiles.id = auth.uid())) = ANY (ARRAY['editor'::text, 'org_admin'::text, 'admin'::text])))) OR (( SELECT profiles.role
   FROM profiles
  WHERE (profiles.id = auth.uid())) = 'admin'::text))",null
public,assets,Users can view accessible assets,PERMISSIVE,{public},SELECT,"((( SELECT profiles.organization_id
   FROM profiles
  WHERE (profiles.id = auth.uid())) IN ( SELECT organizations.id
   FROM organizations
  WHERE (organizations.name = ANY (ARRAY['SYSTEM'::text, 'Matrix'::text])))) OR (organization_id = ( SELECT profiles.organization_id
   FROM profiles
  WHERE (profiles.id = auth.uid()))) OR (id IN ( SELECT shared_assets.asset_id
   FROM shared_assets
  WHERE (shared_assets.shared_with_organization_id = ( SELECT profiles.organization_id
           FROM profiles
          WHERE (profiles.id = auth.uid()))))))",null
public,competency_categories,Authenticated users can view competency categories,PERMISSIVE,{authenticated},SELECT,true,null
public,competency_categories,Only admins can manage competency categories,PERMISSIVE,{authenticated},ALL,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['admin'::text, 'org_admin'::text])))))",null
public,competency_comments,Users can create competency comments,PERMISSIVE,{authenticated},INSERT,null,"(EXISTS ( SELECT 1
   FROM employee_competencies ec
  WHERE ((ec.id = competency_comments.employee_competency_id) AND ((ec.user_id = auth.uid()) OR (EXISTS ( SELECT 1
           FROM profiles p
          WHERE ((p.id = auth.uid()) AND ((p.role = 'admin'::text) OR ((p.role = 'org_admin'::text) AND (p.organization_id IN ( SELECT profiles.organization_id
                   FROM profiles
                  WHERE (profiles.id = ec.user_id))))))))))))"
public,competency_comments,Users can delete own competency comments,PERMISSIVE,{authenticated},DELETE,"((created_by = auth.uid()) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['admin'::text, 'org_admin'::text]))))))",null
public,competency_comments,Users can update own competency comments,PERMISSIVE,{authenticated},UPDATE,"((created_by = auth.uid()) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['admin'::text, 'org_admin'::text]))))))",null
public,competency_comments,Users can view competency comments,PERMISSIVE,{authenticated},SELECT,"(EXISTS ( SELECT 1
   FROM employee_competencies ec
  WHERE ((ec.id = competency_comments.employee_competency_id) AND ((ec.user_id = auth.uid()) OR (EXISTS ( SELECT 1
           FROM profiles p
          WHERE ((p.id = auth.uid()) AND ((p.role = 'admin'::text) OR ((p.role = 'org_admin'::text) AND (p.organization_id IN ( SELECT profiles.organization_id
                   FROM profiles
                  WHERE (profiles.id = ec.user_id))))))))))))",null
